kecamatan_text,kecamatan_href
AMBALAWI,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520610
BELO,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520604
BOLO,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520602
DONGGO,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520608
LAMBITU,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520617
LAMBU,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520612
LANGGUDU,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520611
MADAPANGGA,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520613
MONTA,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520601
PALIBELO,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520618
PARADO,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520616
SANGGAR,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520609
SAPE,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520606
SOROMANDI,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520615
TAMBORA,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520614
WAWO,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520605
WERA,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520607
WOHA,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206/520603
