kabkot_text,kabkot_href
BIMA,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5206
DOMPU,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5205
KOTA BIMA,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5272
KOTA MATARAM,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5271
LOMBOK BARAT,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5201
LOMBOK TENGAH,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5202
LOMBOK TIMUR,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5203
LOMBOK UTARA,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5208
SUMBAWA,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5204
SUMBAWA BARAT,https://pemilu2024.kpu.go.id/pilpres/hitung-suara/52/5207
