Category,Value
Jumlah pemilih dalam DPT,"[582, 803, 13]"
Jumlah pengguna hak pilih dalam DPT,"[264, 320, 32]"
Jumlah pengguna hak pilih dalam DPTb,[2]
Jumlah pengguna hak pilih dalam DPK,[]
Jumlah pengguna hak pilih (B.1 + B.2 + B.3),[]
"Jumlah surat suara yang diterima, termasuk surat suara cadangan 2% dari DPT",
Jumlah surat suara yang digunakan,
Jumlah surat suara yang dikembalikan oleh pemilih (karena rusak atau keliru coblos),
"Jumlah surat suara yang tidak digunakan/tidak terpakai, termasuk sisa surat suara cadangan",
Jumlah seluruh pemilih disabilitas yang menggunakan hak pilih,
